country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","02-04-2026 13:00:00",28.580280,77.233829,SO2,9,49,21
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","02-04-2026 13:00:00",28.656756,77.227234,PM10,71,419,275
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","02-04-2026 13:00:00",28.656756,77.227234,CO,96,132,121
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","02-04-2026 13:00:00","28.615828 ","77.271992 ",PM10,84,350,189
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","02-04-2026 13:00:00","28.615828 ","77.271992 ",CO,100,128,110
India,Delhi,Delhi,"DTU, Delhi - CPCB","02-04-2026 13:00:00",28.7500499,77.1112615,OZONE,NA,NA,NA
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","02-04-2026 13:00:00",28.498571,77.264840,OZONE,9,167,167
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","02-04-2026 13:00:00",28.5710274,77.0719006,NH3,11,15,13
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","02-04-2026 13:00:00",28.5627763,77.1180053,NO2,20,86,47
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","02-04-2026 13:00:00",25.599486,85.113666,OZONE,26,35,30
India,Bihar,Patna,"Samanpura, Patna - BSPCB","02-04-2026 13:00:00",25.596727,85.085624,PM2.5,80,223,128
India,Bihar,Patna,"Samanpura, Patna - BSPCB","02-04-2026 13:00:00",25.596727,85.085624,PM10,80,138,110
India,Bihar,Patna,"Samanpura, Patna - BSPCB","02-04-2026 13:00:00",25.596727,85.085624,CO,38,55,44
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","02-04-2026 13:00:00",25.03280,85.41948,NO2,13,15,14
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","02-04-2026 13:00:00",25.03280,85.41948,CO,38,49,42
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","02-04-2026 13:00:00",25.03280,85.41948,OZONE,24,28,26
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","02-04-2026 13:00:00",25.892357,86.590325,PM10,32,131,82
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","02-04-2026 13:00:00",25.892357,86.590325,SO2,14,20,17
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","02-04-2026 13:00:00",28.5918245,77.2273074,NO2,14,66,34
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","02-04-2026 13:00:00",28.636429,77.201067,PM10,85,245,149
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","02-04-2026 13:00:00",28.636429,77.201067,CO,8,133,78
India,Delhi,Delhi,"Mundka, Delhi - DPCC","02-04-2026 13:00:00",28.684678,77.076574,NH3,5,10,7
India,Delhi,Delhi,"Mundka, Delhi - DPCC","02-04-2026 13:00:00",28.684678,77.076574,OZONE,2,92,37
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","02-04-2026 13:00:00",28.60909,77.0325413,PM2.5,75,362,190
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","02-04-2026 13:00:00",28.60909,77.0325413,OZONE,28,120,56
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","02-04-2026 13:00:00","28.594004 ","76.909423 ",NO2,6,92,49
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","02-04-2026 13:00:00",21.194815,81.314770,CO,6,78,11
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","02-04-2026 13:00:00",21.185571,81.343175,SO2,4,9,8
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","02-04-2026 13:00:00",21.185571,81.343175,OZONE,10,12,11
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","02-04-2026 13:00:00",21.224231,81.408350,NO2,15,59,31
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","02-04-2026 13:00:00",22.118125,83.140608,NO2,6,30,14
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","02-04-2026 13:00:00",22.126650,83.483212,NO2,17,74,42
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","02-04-2026 13:00:00",22.126650,83.483212,OZONE,1,29,1
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","02-04-2026 13:00:00",21.258815,81.578979,PM10,13,75,40
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","02-04-2026 13:00:00",21.258815,81.578979,NO2,23,47,40
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","02-04-2026 13:00:00",21.219665,81.630094,PM10,14,93,41
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","02-04-2026 13:00:00",21.219665,81.630094,SO2,1,9,4
India,Delhi,Delhi,"Alipur, Delhi - DPCC","02-04-2026 13:00:00",28.815329,77.153010,CO,6,40,31
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","02-04-2026 13:00:00",28.647622,77.3158090,PM10,135,500,258
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","02-04-2026 13:00:00",28.5512005,77.2735737,PM2.5,27,301,132
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","02-04-2026 13:00:00","28.594169 ","77.125100 ",NO2,23,218,102
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","02-04-2026 13:00:00",21.371751,81.664929,NO2,NA,NA,NA
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","02-04-2026 13:00:00",21.371751,81.664929,OZONE,2,44,9
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","02-04-2026 13:00:00",22.06631475,83.33820077,SO2,6,21,9
